country,geometry_type,invalid_geometry_count,parsed_geometry_count,parse_error_count
Russian Federation,MultiPolygon,0,4964035,0
Russian Federation,Point,0,654825,0
Russian Federation,Polygon,0,67,0
Rwanda,ALL_TYPES,0,20599,0
Rwanda,LineString,0,7127,0
Rwanda,MultiPolygon,0,9069,0
Rwanda,Point,0,4367,0
Rwanda,Polygon,0,36,0
Saint Helena - Ascension and Tristan da Cunha,ALL_TYPES,0,502,0
Saint Helena - Ascension and Tristan da Cunha,LineString,0,200,0
Saint Helena - Ascension and Tristan da Cunha,MultiPolygon,0,220,0
Saint Helena - Ascension and Tristan da Cunha,Point,0,78,0
Saint Helena - Ascension and Tristan da Cunha,Polygon,0,4,0
Samoa,ALL_TYPES,0,34,0
Samoa,MultiPolygon,0,34,0
Sao Tome and Principe,ALL_TYPES,0,1034,0
Sao Tome and Principe,LineString,0,373,0
Sao Tome and Principe,MultiPolygon,0,439,0
Sao Tome and Principe,Point,0,220,0
Sao Tome and Principe,Polygon,0,2,0
Serbia,ALL_TYPES,0,237169,0
Serbia,LineString,0,98287,0
Serbia,MultiPolygon,0,105155,0
Serbia,Point,0,33545,0
Serbia,Polygon,0,182,0
Seychelles,ALL_TYPES,0,1669,0
Seychelles,LineString,0,458,0
Seychelles,MultiPolygon,0,520,0
Seychelles,Point,0,690,0
Seychelles,Polygon,0,1,0
Sierra Leone,ALL_TYPES,0,15399,0
Sierra Leone,LineString,0,5771,0
Sierra Leone,MultiPolygon,0,6158,0
Sierra Leone,Point,0,3462,0
Sierra Leone,Polygon,0,8,0
Slovakia,ALL_TYPES,0,353934,0
Slovakia,LineString,0,111364,0
Slovakia,MultiPolygon,0,122128,0
Slovakia,Point,0,120354,0
Slovakia,Polygon,0,88,0
Slovenia,ALL_TYPES,0,122450,0
Slovenia,LineString,0,45816,0
Slovenia,MultiPolygon,0,47607,0
Slovenia,Point,0,29016,0
Slovenia,Polygon,0,11,0
Solomon Islands,ALL_TYPES,0,44,0
Solomon Islands,MultiPolygon,0,43,0
Solomon Islands,Polygon,0,1,0
Somalia,ALL_TYPES,0,168369,0
Somalia,LineString,0,78350,0
Somalia,MultiPolygon,0,87533,0
Somalia,Point,0,2399,0
Somalia,Polygon,0,87,0
South Africa,ALL_TYPES,0,282798,0
South Africa,LineString,0,123421,0
South Africa,MultiPolygon,0,126543,0
South Africa,Point,0,32776,0
South Africa,Polygon,0,58,0
South Sudan,ALL_TYPES,0,37122,0
South Sudan,LineString,0,15440,0
South Sudan,MultiPolygon,0,18084,0
South Sudan,Point,0,3597,0
South Sudan,Polygon,0,1,0
Spain,ALL_TYPES,1,1600737,0
Spain,LineString,0,487761,0
Spain,MultiPolygon,1,515509,0
Spain,Point,0,597436,0
Spain,Polygon,0,31,0
Sri Lanka,ALL_TYPES,0,83945,0
Sri Lanka,LineString,0,31660,0
Sri Lanka,MultiPolygon,0,32689,0
Sri Lanka,Point,0,19577,0
Sri Lanka,Polygon,0,19,0
Sudan,ALL_TYPES,0,45832,0
Sudan,LineString,0,17595,0
Sudan,MultiPolygon,0,19640,0
Sudan,Point,0,8597,0
Suriname,ALL_TYPES,0,27478,0
Suriname,LineString,0,12885,0
